acc_x, acc_y, acc_z, gyro_x, gyro_y, gyro_z
924, -760, 15816, -477, -174, 969
840, -832, 15688, -426, -178, 969
816, -960, 15652, -405, -146, 964
824, -912, 15604, -345, -158, 962
788, -844, 15744, -303, -185, 954
792, -1056, 15792, -232, -231, 942
932, -900, 15712, -158, -236, 984
832, -932, 15636, -65, -262, 998
792, -940, 15596, -40, -277, 1020
776, -776, 15656, 21, -308, 1025
940, -896, 15624, 53, -311, 1026
760, -776, 15796, 39, -334, 1010
820, -824, 15780, 40, -353, 986
804, -828, 15732, 14, -353, 972
880, -696, 15944, 27, -353, 965
776, -660, 15844, -18, -370, 936
856, -684, 15876, -66, -361, 967
940, -720, 15872, -73, -347, 963
872, -748, 16016, -96, -364, 975
948, -848, 15896, -156, -361, 944
1020, -784, 15940, -180, -314, 910
916, -868, 15868, -244, -280, 872
876, -872, 15964, -284, -261, 849
808, -928, 15904, -310, -197, 820
948, -968, 15956, -301, -263, 813
1000, -912, 15880, -309, -278, 828
1064, -896, 15900, -280, -282, 853
980, -920, 15900, -275, -269, 891
920, -876, 15820, -254, -311, 933
988, -900, 16116, -214, -370, 958
932, -880, 15828, -205, -363, 941
924, -960, 15684, -183, -361, 957
904, -920, 15884, -200, -347, 963
992, -952, 15784, -156, -330, 951
1032, -872, 15908, -188, -351, 937
1032, -872, 15856, -174, -365, 937
920, -824, 15852, -206, -375, 973
1004, -760, 15988, -176, -384, 988
880, -928, 15720, -202, -387, 993
916, -724, 15816, -220, -372, 985
916, -868, 15816, -274, -347, 975
840, -780, 15832, -292, -312, 958
804, -748, 15956, -303, -304, 923
864, -792, 15904, -327, -304, 890
1032, -760, 16000, -375, -326, 849
960, -784, 15808, -346, -351, 858
976, -788, 15656, -379, -319, 874
1044, -808, 15712, -360, -294, 904
948, -872, 15844, -350, -305, 942
1124, -832, 15768, -323, -317, 964
916, -932, 15652, -295, -325, 989
932, -980, 15572, -251, -304, 1019
960, -964, 15780, -242, -293, 1002
888, -836, 15552, -199, -271, 1026
936, -944, 15904, -132, -283, 987
920, -964, 15784, -70, -301, 1005
848, -764, 15612, -66, -289, 1002
820, -912, 15672, 3, -276, 1020
908, -852, 15924, 42, -307, 1009
888, -796, 15860, 23, -349, 1024
912, -804, 15800, 6, -336, 1021
948, -800, 15696, -22, -304, 1029
992, -692, 15884, -77, -278, 1014
976, -820, 15812, -118, -272, 986
968, -780, 15980, -146, -215, 967
928, -908, 15816, -181, -241, 968
984, -924, 15980, -186, -232, 933
828, -732, 16124, -216, -261, 956
908, -808, 15916, -243, -264, 951
964, -940, 15904, -236, -278, 974
1020, -804, 15976, -246, -309, 974
976, -844, 15724, -238, -353, 969
984, -828, 15572, -230, -347, 997
1016, -1016, 15820, -214, -356, 1007
996, -848, 15840, -204, -341, 1034
800, -1024, 15752, -155, -391, 1035
960, -840, 15672, -135, -369, 1005
888, -876, 15728, -142, -344, 993
908, -900, 15680, -126, -352, 968
940, -904, 15788, -152, -352, 969
936, -944, 15644, -187, -297, 968
860, -876, 15832, -180, -315, 958
952, -908, 15860, -207, -320, 917
1012, -816, 15904, -227, -291, 906
952, -900, 15772, -234, -292, 904
1012, -860, 15824, -255, -251, 918
868, -904, 15792, -254, -258, 898
936, -856, 15912, -239, -248, 939
1016, -820, 15928, -255, -247, 903
1060, -952, 15940, -262, -235, 904
1056, -896, 15848, -255, -236, 858
1028, -876, 15880, -290, -187, 875
1048, -824, 15964, -244, -224, 874
1004, -892, 15908, -224, -220, 870
1032, -904, 15916, -266, -258, 885
1100, -804, 15928, -241, -260, 945
1032, -860, 15956, -201, -309, 974
1080, -820, 15888, -233, -316, 989
1000, -800, 15852, -215, -296, 1013
1268, -768, 15672, -230, -278, 1018
980, -924, 15800, -251, -213, 1014
996, -928, 15844, -257, -238, 983
964, -812, 15792, -278, -221, 959
896, -948, 15832, -300, -207, 957
956, -960, 15868, -265, -235, 959
892, -980, 15832, -253, -205, 952
1108, -988, 15904, -275, -208, 931
988, -868, 15836, -281, -170, 933
984, -920, 15656, -292, -155, 943
904, -948, 15828, -248, -146, 933
912, -964, 15868, -229, -146, 933
976, -988, 15752, -235, -162, 938
896, -888, 15632, -193, -144, 905
960, -932, 15792, -182, -105, 921
1016, -1020, 15732, -159, -137, 917
1020, -992, 15992, -128, -139, 928
1020, -940, 15808, -135, -171, 963
1020, -908, 15904, -124, -176, 986
988, -804, 15796, -93, -228, 978
864, -828, 15892, -89, -211, 993
932, -824, 15884, -110, -229, 983
996, -808, 15824, -101, -184, 938
1032, -728, 15840, -91, -149, 948
856, -808, 15696, -113, -133, 955
928, -924, 15840, -101, -138, 921
916, -832, 15656, -101, -163, 955
972, -916, 15852, -102, -158, 930
956, -888, 15744, -131, -170, 961
856, -872, 15788, -140, -176, 961
1056, -868, 15756, -134, -164, 951
912, -920, 15756, -136, -204, 942
920, -936, 15692, -123, -170, 959
1060, -884, 15780, -117, -146, 972
952, -880, 15844, -133, -143, 965
936, -848, 15888, -110, -135, 978
920, -948, 15888, -108, -176, 999
1024, -936, 15816, -143, -168, 980
964, -972, 15964, -145, -170, 995
980, -900, 15832, -157, -169, 1035
1104, -868, 15908, -143, -157, 1019
1068, -836, 15884, -177, -135, 1038
1004, -944, 15832, -160, -135, 1044
1008, -1016, 15940, -151, -177, 1034
948, -972, 15868, -182, -182, 1040
952, -900, 15968, -161, -213, 1029
892, -932, 15796, -176, -222, 1055
1112, -864, 15768, -179, -206, 1068
1124, -876, 15940, -140, -180, 1057
1088, -796, 15988, -151, -189, 1074
972, -860, 15812, -131, -176, 1095
968, -872, 16024, -137, -186, 1121
972, -852, 15732, -120, -218, 1107
876, -888, 15956, -132, -181, 1076
932, -772, 15864, -130, -191, 1071
904, -784, 15780, -154, -195, 1030
960, -776, 15848, -139, -184, 1020
920, -868, 15812, -139, -123, 1009
900, -780, 15912, -163, -123, 1002
836, -792, 15868, -214, -115, 998
1000, -852, 15828, -237, -88, 1004
1108, -788, 15864, -259, -94, 997
992, -884, 15768, -255, -85, 1001
928, -868, 15732, -258, -96, 1013
948, -936, 15780, -279, -128, 1007
928, -992, 15772, -248, -131, 1035
952, -976, 15756, -224, -129, 1018
1024, -980, 15848, -214, -102, 1020
992, -1076, 15764, -190, -103, 1022
936, -896, 15696, -134, -109, 979
900, -1000, 15848, -134, -103, 993
952, -1080, 15708, -66, -122, 983
936, -1060, 15868, -40, -166, 979
960, -972, 15932, -19, -223, 994
1008, -976, 15852, 6, -229, 980
988, -920, 15912, -2, -236, 1037
948, -884, 15748, -1, -202, 1053
884, -896, 15900, -12, -212, 1062
976, -772, 15928, -21, -222, 1046
940, -876, 15964, -59, -209, 1037
948, -872, 16008, -74, -228, 1045
936, -844, 16052, -72, -234, 1025
816, -828, 15940, -99, -239, 1032
1020, -768, 15856, -130, -233, 998
928, -808, 15896, -163, -212, 978
1084, -740, 15788, -193, -166, 958
928, -884, 15712, -223, -165, 965
976, -824, 15744, -273, -172, 991
808, -800, 15588, -259, -182, 995
1040, -900, 15840, -259, -179, 999
864, -852, 15864, -263, -194, 978
980, -872, 15824, -242, -210, 976
848, -1044, 15748, -244, -237, 986
908, -1020, 15792, -175, -250, 978
1060, -856, 15748, -187, -235, 972
1020, -948, 15700, -136, -258, 991
972, -956, 15780, -95, -251, 1027
804, -1000, 15904, -44, -249, 1014
932, -912, 15844, -19, -242, 1040
916, -872, 15900, -52, -238, 1014
1016, -860, 15700, -58, -211, 986
992, -908, 15872, -66, -210, 974
904, -960, 15776, -88, -186, 953
996, -828, 15844, -95, -193, 985
944, -816, 15928, -114, -206, 986
908, -1004, 15896, -126, -197, 977
948, -820, 15816, -118, -206, 990
1100, -920, 15888, -139, -193, 997
976, -800, 15860, -89, -235, 1005
788, -892, 15592, -83, -226, 988
868, -776, 15844, -93, -242, 1004
876, -828, 15668, -88, -255, 995
972, -928, 15824, -83, -249, 971
972, -860, 15736, -101, -212, 940
964, -908, 15660, -104, -178, 924
904, -988, 15744, -158, -137, 906
888, -952, 15800, -161, -142, 896
1032, -896, 15908, -179, -157, 925
972, -928, 15928, -207, -166, 916
984, -912, 15920, -194, -180, 943
1012, -836, 15756, -189, -177, 956
1040, -880, 15680, -168, -184, 974
976, -1000, 15804, -95, -165, 958
1160, -988, 15916, -77, -167, 977
944, -880, 15828, -70, -184, 1004
1040, -996, 15736, -20, -184, 1006
1092, -868, 15872, -15, -194, 1012
1008, -828, 15904, 22, -182, 1036
972, -748, 15924, -5, -209, 1018
944, -760, 15888, -58, -235, 1040
956, -792, 15956, -67, -220, 1018
924, -868, 15664, -116, -209, 986
968, -904, 15784, -154, -219, 971
992, -768, 15844, -169, -224, 979
956, -864, 15876, -220, -170, 952
1048, -872, 15824, -215, -199, 944
1012, -904, 15884, -200, -186, 953
860, -924, 15856, -178, -188, 947
980, -976, 15956, -164, -183, 946
912, -820, 15780, -137, -190, 911
1044, -912, 15800, -91, -168, 907
884, -920, 15852, -87, -162, 907
896, -928, 15876, -111, -126, 922
1068, -780, 15828, -81, -170, 941
976, -788, 15816, -111, -220, 923
948, -920, 15988, -85, -224, 962
1056, -848, 15644, -112, -220, 983
1016, -860, 15868, -135, -208, 1017
936, -876, 15964, -102, -235, 1019
916, -900, 15828, -55, -264, 1039
852, -828, 15840, -54, -273, 1043
860, -960, 15792, -13, -285, 1065
832, -900, 15888, -21, -278, 1084
876, -868, 15904, -2, -322, 1051
968, -888, 15748, -41, -324, 1031
1032, -744, 15712, -97, -299, 996
956, -800, 15872, -118, -244, 981
1028, -828, 15856, -129, -223, 1000
960, -808, 16028, -119, -200, 991
896, -768, 15808, -132, -203, 984
860, -824, 15896, -122, -226, 992
864, -872, 15848, -116, -222, 973
1004, -928, 15868, -140, -182, 993
928, -1012, 15848, -126, -199, 1006
928, -948, 15708, -138, -221, 962
1056, -824, 15764, -131, -189, 965
984, -784, 15888, -147, -172, 970
984, -860, 15700, -135, -168, 997
924, -760, 15776, -97, -220, 1021
1072, -900, 15916, -116, -209, 1032
900, -884, 15852, -80, -250, 1026
880, -988, 16004, -102, -238, 1025
976, -800, 15868, -113, -220, 1017
952, -832, 15952, -104, -238, 1029
936, -784, 15804, -122, -272, 1007
956, -828, 15868, -84, -236, 1050
1032, -904, 15816, -94, -257, 1064
1008, -836, 15696, -103, -254, 1078
968, -916, 15896, -120, -236, 1069
844, -756, 15740, -112, -253, 1054
892, -812, 16004, -106, -245, 1051
940, -780, 15808, -130, -226, 1044
836, -928, 15832, -127, -232, 1036
1052, -828, 15724, -161, -223, 1027
1060, -860, 15948, -181, -217, 1024
900, -864, 15800, -164, -232, 1012
1024, -852, 15820, -179, -186, 1003
868, -872, 15816, -185, -170, 1002
948, -888, 15844, -142, -182, 953
1004, -924, 15812, -109, -191, 947
936, -852, 15840, -99, -197, 932
924, -940, 15828, -84, -208, 930
1020, -900, 15860, -64, -217, 913
976, -812, 15712, -52, -225, 915
1056, -832, 15820, -78, -226, 921
1004, -880, 15688, -66, -245, 904
1040, -816, 15648, -101, -214, 924
1072, -868, 15916, -143, -220, 893
1028, -760, 15888, -107, -199, 919
924, -848, 15968, -94, -179, 920
952, -740, 15900, -121, -180, 913
872, -784, 15876, -107, -206, 913
1008, -916, 15816, -103, -206, 909
888, -852, 15828, -127, -238, 900
912, -808, 15800, -147, -194, 894
984, -848, 15848, -166, -188, 909
1004, -876, 15876, -232, -206, 903
936, -876, 15836, -200, -181, 911
908, -856, 15780, -187, -174, 911
1004, -944, 15824, -148, -145, 910
1000, -816, 15728, -114, -121, 904
996, -904, 15900, -116, -141, 880
892, -988, 15808, -69, -126, 881
948, -928, 15812, -75, -145, 893
1036, -844, 15920, -66, -108, 887
1016, -872, 15828, -43, -127, 877
988, -848, 15948, -47, -141, 891
960, -888, 15832, -52, -149, 892
976, -864, 15816, -52, -150, 900
980, -760, 15904, -33, -154, 910
960, -768, 15992, -46, -208, 956
1152, -760, 15860, -63, -238, 964
920, -888, 15872, -88, -239, 975
968, -740, 15840, -115, -231, 1009
868, -724, 15864, -128, -250, 1035
984, -796, 15816, -150, -261, 1007
1004, -864, 15832, -184, -175, 1001
888, -880, 15872, -211, -166, 989
948, -860, 15772, -163, -166, 955
984, -944, 15836, -161, -162, 921
808, -908, 15724, -170, -157, 929
988, -816, 15720, -117, -173, 906
972, -836, 15868, -96, -158, 940
964, -816, 15748, -110, -179, 975
992, -736, 15820, -56, -183, 983
1068, -840, 15860, -96, -215, 980
1044, -744, 15776, -96, -221, 996
1060, -772, 15924, -96, -228, 1042
1044, -776, 15940, -127, -235, 998
844, -896, 15900, -120, -231, 1044
944, -984, 15820, -123, -235, 1019
972, -692, 16036, -145, -219, 1021
1040, -784, 15708, -152, -147, 997
948, -816, 15780, -172, -160, 1018
880, -768, 15844, -197, -144, 1019
908, -728, 15996, -150, -147, 1001
996, -748, 15732, -171, -114, 1021
976, -884, 15792, -182, -87, 987
916, -868, 15848, -169, -97, 1007
908, -876, 15900, -156, -88, 1013
940, -920, 15912, -147, -135, 999
964, -912, 15800, -125, -148, 1001
1024, -904, 15876, -144, -162, 976
880, -876, 15844, -122, -155, 983
952, -816, 15868, -134, -129, 977
1040, -868, 15824, -86, -151, 979
960, -860, 15924, -90, -143, 956
960, -792, 15904, -87, -186, 978
992, -792, 15888, -101, -194, 1003
1008, -740, 15684, -117, -190, 1042
1068, -896, 15864, -165, -194, 1039
952, -908, 15936, -143, -200, 1033
880, -812, 15924, -178, -208, 1005
896, -816, 15760, -161, -156, 973
920, -840, 15752, -172, -145, 975
920, -864, 15656, -153, -120, 934
844, -752, 15748, -122, -113, 948
920, -928, 15856, -148, -111, 930
964, -748, 15668, -150, -85, 949
1004, -796, 15916, -164, -89, 912
924, -768, 15912, -143, -92, 921
956, -832, 15876, -125, -150, 967
1008, -832, 15940, -126, -182, 996
956, -816, 15840, -132, -210, 1014
984, -888, 15864, -142, -238, 1071
936, -800, 15804, -104, -253, 1082
964, -836, 15896, -94, -272, 1088
948, -908, 15900, -121, -253, 1078
988, -876, 15848, -112, -242, 1042
808, -820, 15868, -106, -212, 1048
892, -816, 15936, -96, -211, 999
900, -816, 15920, -97, -209, 975
872, -828, 15852, -117, -200, 956
940, -792, 15888, -141, -200, 969
932, -868, 15724, -132, -217, 979
956, -704, 15956, -165, -276, 1006
1008, -664, 15832, -198, -282, 984
1024, -804, 15772, -270, -210, 971
912, -868, 15620, -297, -140, 942
1012, -904, 15720, -329, -139, 902
1072, -948, 15668, -317, -144, 905
972, -856, 15792, -260, -166, 928
960, -880, 15920, -195, -225, 974
900, -828, 15928, -135, -265, 986
820, -880, 15884, -92, -303, 989
948, -876, 15872, -101, -306, 1002
948, -936, 15708, -81, -260, 979
896, -804, 15852, -97, -232, 972
1016, -840, 15696, -69, -229, 971
1064, -800, 15940, -65, -233, 991
980, -876, 15920, -59, -245, 987
928, -700, 15876, -74, -202, 1011
916, -824, 15780, -85, -224, 987
996, -772, 15856, -92, -263, 977
916, -848, 15888, -158, -216, 987
836, -828, 15732, -126, -196, 983
864, -876, 15668, -82, -202, 982
900, -924, 15808, -105, -170, 975
840, -856, 15796, -62, -181, 960
920, -840, 15736, -89, -184, 925
964, -904, 15648, -48, -180, 932
1040, -840, 15740, -42, -140, 905
880, -796, 15988, -52, -145, 927
964, -868, 15788, -37, -178, 919
936, -764, 15860, -58, -181, 923
948, -748, 15848, -62, -183, 935
1056, -868, 15812, -80, -204, 955
900, -820, 15920, -96, -216, 968
940, -820, 15908, -120, -189, 952
928, -904, 15964, -133, -189, 973
924, -764, 15836, -173, -197, 960
972, -816, 15976, -190, -157, 950
964, -788, 15804, -180, -156, 929
1020, -840, 15728, -176, -154, 958
992, -824, 15776, -222, -133, 944
904, -884, 15884, -225, -143, 978
992, -912, 15884, -194, -167, 979
1024, -924, 16016, -198, -186, 981
952, -920, 15856, -193, -165, 975
992, -1024, 15812, -193, -156, 968
928, -940, 15784, -180, -155, 980
944, -788, 15808, -144, -198, 967
992, -864, 15716, -125, -182, 967
944, -828, 15700, -75, -181, 958
828, -788, 15732, -66, -176, 973
868, -672, 15992, -58, -177, 965
860, -776, 15772, -36, -205, 964
836, -780, 15780, -34, -190, 956
888, -696, 15776, -27, -181, 978
1000, -664, 15864, -86, -132, 929
880, -692, 15796, -105, -117, 902
912, -720, 15816, -144, -85, 883
948, -664, 15860, -204, -45, 852
932, -856, 15764, -241, 8, 838
924, -792, 15772, -262, 31, 815
1024, -940, 15848, -246, 40, 803
876, -904, 15824, -254, 70, 787
868, -912, 15688, -221, 43, 826
924, -832, 15784, -188, 15, 849
908, -880, 15988, -132, -38, 882
1088, -840, 15884, -78, -125, 927
1048, -944, 15820, -19, -138, 984
1016, -856, 15916, 22, -180, 1020
948, -832, 15912, 49, -201, 1039
1052, -884, 15948, 57, -194, 1076
996, -904, 15924, 55, -221, 1078
944, -748, 15888, 49, -231, 1069
1020, -680, 15800, 11, -240, 1036
952, -716, 15700, -11, -212, 1051
848, -680, 15892, -54, -197, 1051
992, -744, 15924, -68, -225, 1020
1016, -816, 15868, -82, -225, 1010
944, -788, 15800, -118, -193, 1000
916, -708, 15764, -132, -153, 980
952, -792, 15708, -169, -150, 980
864, -788, 15840, -128, -131, 966
844, -760, 15760, -98, -169, 968
964, -832, 15936, -90, -183, 971
896, -908, 15816, -80, -196, 970
916, -748, 15820, -79, -214, 992
912, -776, 15720, -61, -199, 990
884, -768, 15868, -49, -247, 997
876, -816, 15828, -50, -258, 1007
948, -804, 15892, -66, -234, 1023
900, -876, 15552, -81, -199, 1017
912, -896, 15716, -98, -181, 990
792, -792, 15868, -95, -165, 953
784, -824, 15772, -122, -155, 942
920, -780, 15752, -97, -127, 897
728, -716, 15648, -104, -130, 900
904, -820, 15612, -96, -138, 922
924, -756, 15764, -77, -135, 943
880, -808, 15756, -110, -139, 924
948, -804, 15764, -118, -152, 939
800, -836, 15808, -138, -166, 959
956, -836, 15812, -130, -138, 946
892, -828, 16044, -123, -135, 933
1036, -716, 15868, -99, -180, 952
1004, -720, 15788, -97, -238, 960
964, -748, 16044, -95, -270, 973
1072, -704, 15980, -104, -281, 1024
1032, -668, 15960, -122, -275, 1054
1068, -792, 15720, -164, -240, 1099
1068, -772, 15844, -167, -204, 1083
936, -840, 15764, -229, -176, 1045
996, -856, 15760, -229, -143, 1017
928, -852, 15808, -255, -99, 996
940, -844, 16000, -230, -131, 965
896, -884, 16060, -221, -126, 946
852, -796, 15772, -181, -145, 922
964, -828, 15772, -205, -118, 943
892, -836, 15772, -195, -107, 957
1092, -836, 15904, -168, -90, 981
1000, -808, 15640, -164, -87, 981
896, -804, 15836, -160, -111, 1001
872, -704, 15964, -127, -130, 986
932, -780, 15936, -147, -145, 975
928, -680, 15684, -93, -129, 971
928, -776, 15696, -109, -110, 974
884, -788, 15740, -106, -97, 969
808, -636, 15788, -126, -125, 963
864, -720, 15880, -126, -126, 938
876, -820, 15772, -176, -95, 924
948, -680, 15800, -189, -73, 919
904, -712, 15676, -189, -84, 919
908, -868, 15768, -189, -103, 921
844, -876, 15860, -158, -122, 913
892, -768, 15756, -168, -133, 898
824, -840, 15760, -132, -139, 901
860, -708, 15936, -102, -173, 890
888, -772, 15764, -83, -185, 913
896, -836, 15724, -29, -190, 931
904, -816, 15792, -11, -204, 938
896, -820, 15692, 28, -209, 929
876, -696, 15616, 46, -230, 933
